sample	doublets
CAR-283	0.061
CAR-290	0.061
CAR-309	0.054
CAR-368	0.076
CAR-272	0.046
CAR-278	0.039
CAR-298	0.076
CAR-307	0.076
CAR-300	0.046
CAR-319	0.061
CAR-343	0.076
CAR-297	0.069
CAR-394	0.076
CAR-396	0.076
CAR-374	0.039
CAR-381	0.039
CAR-355	0.046
CAR-369	0.076
CAR-393	0.016
CAR-382	0.076
CAR-384	0.076
CAR-392	0.054
CAR-314	0.076
CAR-348	0.031
CAR-412	0.076
CAR-272-PBMC	0.064
CAR-283-PBMC	0.064
CAR-307-PBMC	0.04
CAR-309-PBMC	0.112
CAR-343-PBMC	0.072
CAR-352	0.04
CAR-366-PBMC	0.072
CAR-383	0.056
CAR-388-PBMC	0.088
CAR-408	0.048
CAR-419	0.088
CAR-433-PBMC	0.064
CAR-439-PBMC	0.032
CAR-440-PBMC	0.104
CAR-448	0.024
CAR-452	0.032
CAR-511	0.024
CAR-511-PBMC	0.088
CAR-512	0.032
CAR-517	0.056
CAR-543	0.088
CAR-545-PBMC	0.056
CAR-550	0.088
CAR-552	0.152
CAR-553	0.072
CAR-571	0.136
CAR-572	0.144
